##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:38:08
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.50311518e+00, -4.52883278e-08, 6.39500022e-02, 2.22042070e+04, 2.08963558e-01, 3.85732025e+02, 1.02226996e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22042070e+04, 3.70107819e+02, 3.35837841e-01, 4.31489727e+04, 4.47512238e+02, 3.94195190e+02, 3.60880493e+02, 1.14393036e+02, -1.09860558e+02
5.50408888e+00, 5.61433035e-06, 5.24199009e-02, 4.82160977e+04, 5.20506322e-01, 3.60173584e+02, 1.39068520e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.82160977e+04, 3.22691803e+02, 1.17972887e+00, 1.51597203e+05, 4.47581909e+02, 5.00803528e+02, 4.92118927e+02, -7.35332537e+00, -9.25692596e+01
5.50408888e+00, -4.26691440e-06, 5.24199009e-02, 4.82066211e+04, 5.20388126e-01, 3.60174225e+02, 1.39067507e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.82066211e+04, 3.22692535e+02, 1.17930198e+00, 1.51542266e+05, 4.47581787e+02, 5.00755554e+02, 4.92078857e+02, -6.60949707e+00, -9.25787277e+01
5.49854422e+00, 3.17484885e-03, 5.27324006e-02, 9.99267422e+04, 1.02753580e+00, 3.69015747e+02, 1.26852286e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.99267422e+04, 3.38724579e+02, 2.06399035e+00, 2.65358750e+05, 4.47805695e+02, 4.68101166e+02, 4.51944763e+02, -1.08080345e+02, -5.64204063e+01
5.49854422e+00, -3.17484559e-03, 5.27324006e-02, 1.12794867e+05, 1.14587784e+00, 3.71259491e+02, 1.23691463e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.12794867e+05, 3.42856262e+02, 2.23337412e+00, 2.87154000e+05, 4.47834167e+02, 4.59212219e+02, 4.43335144e+02, 1.06044991e+02, -5.55362473e+01
5.47883892e+00, 3.17501440e-03, 6.47094995e-02, 8.91896953e+04, 1.04621625e+00, 3.45501648e+02, 1.59424043e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.91896953e+04, 2.96932037e+02, 2.92283583e+00, 3.75910500e+05, 4.47964783e+02, 5.50812683e+02, 5.50770996e+02, -4.04068089e+00, -5.44352913e+00
5.47883892e+00, -3.17501114e-03, 6.47094995e-02, 1.00681484e+05, 1.15320373e+00, 3.49643402e+02, 1.53767407e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00681484e+05, 3.04093750e+02, 3.03588152e+00, 3.90469344e+05, 4.47987671e+02, 5.37637573e+02, 5.37460693e+02, 2.79990101e+00, -1.35024948e+01
5.46693277e+00, 3.17501323e-03, 6.47094995e-02, 9.35338594e+04, 1.07580972e+00, 3.48915405e+02, 1.54771459e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.35338594e+04, 3.02828766e+02, 2.86200690e+00, 3.68117344e+05, 4.48001587e+02, 5.40020874e+02, 5.40016235e+02, -1.48691344e+00, 1.67303503e+00
5.46693277e+00, -3.17500997e-03, 6.47094995e-02, 1.05604672e+05, 1.18679869e+00, 3.52985260e+02, 1.49207985e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.05604672e+05, 3.09934570e+02, 2.97989368e+00, 3.83299438e+05, 4.48024017e+02, 5.26681641e+02, 5.26645020e+02, -6.19301423e-02, -6.20872068e+00
5.45502710e+00, 3.17501184e-03, 6.47094995e-02, 9.37697578e+04, 1.07819402e+00, 3.48968109e+02, 1.54701829e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.37697578e+04, 3.02920288e+02, 2.86624742e+00, 3.68666688e+05, 4.48006317e+02, 5.39858826e+02, 5.39858521e+02, -4.64382529e-01, 3.22130412e-01
