##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:53:21
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.46693277e+00, 3.17501323e-03, 6.47094995e-02, 8.84891563e+04, 1.02600777e+00, 3.47514679e+02, 1.56638563e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.84891563e+04, 3.00402222e+02, 2.78347087e+00, 3.57940563e+05, 4.47907257e+02, 5.44341248e+02, 5.44278320e+02, -2.64819527e+00, 7.84186220e+00
5.46693277e+00, -3.17500997e-03, 6.47094995e-02, 1.12510594e+05, 1.24629903e+00, 3.55540497e+02, 1.45671666e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.12510594e+05, 3.14437988e+02, 3.01763725e+00, 3.88109188e+05, 4.47971924e+02, 5.17921082e+02, 5.17811218e+02, -9.24498916e-01, -1.06266041e+01
5.45502710e+00, 3.17501184e-03, 6.47094995e-02, 8.88378438e+04, 1.02931607e+00, 3.47638123e+02, 1.56473923e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.88378438e+04, 3.00615753e+02, 2.78760910e+00, 3.58479219e+05, 4.47915436e+02, 5.43961670e+02, 5.43915588e+02, -1.36085343e+00, 6.95050144e+00
5.45502710e+00, -3.17500858e-03, 6.47094995e-02, 1.12473672e+05, 1.24582040e+00, 3.55549927e+02, 1.45662153e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.12473672e+05, 3.14454681e+02, 3.01617169e+00, 3.87926219e+05, 4.47978241e+02, 5.17900757e+02, 5.17744873e+02, -1.95848739e+00, -1.25540247e+01
5.44312191e+00, 3.17501067e-03, 6.47094995e-02, 8.79065313e+04, 1.02150834e+00, 3.47130646e+02, 1.57171118e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.79065313e+04, 2.99738647e+02, 2.78681970e+00, 3.58381656e+05, 4.47920410e+02, 5.45588684e+02, 5.45556091e+02, -1.37707204e-01, 5.96300602e+00
5.44312191e+00, -3.17500741e-03, 6.47094995e-02, 1.11604273e+05, 1.23988056e+00, 3.55020935e+02, 1.46391559e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11604273e+05, 3.13519684e+02, 3.02429867e+00, 3.88975438e+05, 4.47982819e+02, 5.19720520e+02, 5.19552551e+02, -3.48123264e+00, -1.27454605e+01
5.43121576e+00, 3.17500951e-03, 6.47094995e-02, 8.72738516e+04, 1.01518381e+00, 3.46954956e+02, 1.57412016e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.72738516e+04, 2.99435364e+02, 2.77659607e+00, 3.57067688e+05, 4.47921326e+02, 5.46148621e+02, 5.46132996e+02, 4.59406346e-01, 4.10598183e+00
5.43121576e+00, -3.17500625e-03, 6.47094995e-02, 1.11722859e+05, 1.24078500e+00, 3.55080048e+02, 1.46311331e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11722859e+05, 3.13624054e+02, 3.02401900e+00, 3.88940938e+05, 4.47984589e+02, 5.19522156e+02, 5.19303528e+02, -3.65368056e+00, -1.46211271e+01
5.41931105e+00, 3.17500811e-03, 6.47094995e-02, 8.63216484e+04, 1.00673854e+00, 3.46501251e+02, 1.58032668e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.63216484e+04, 2.98652710e+02, 2.77155018e+00, 3.56418281e+05, 4.47920715e+02, 5.47583740e+02, 5.47582703e+02, 1.05178726e+00, 2.27153510e-01
5.41931105e+00, -3.17500485e-03, 6.47094995e-02, 1.11678508e+05, 1.23969400e+00, 3.55165741e+02, 1.46193528e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11678508e+05, 3.13775452e+02, 3.01771736e+00, 3.88130406e+05, 4.47984497e+02, 5.19228638e+02, 5.18910828e+02, -3.78661537e+00, -1.77653027e+01
