##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 16:41:46
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.38359404e+00, 3.17500439e-03, 6.47094995e-02, 7.45572891e+04, 8.81071806e-01, 3.44224884e+02, 1.61166930e+00, 7.45572891e+04, 2.94741577e+02, 5.54774841e+02
5.38359404e+00, -3.17500113e-03, 6.47094995e-02, 1.30446336e+05, 1.37965095e+00, 3.63860413e+02, 1.34166765e+00, 1.30446336e+05, 3.29326355e+02, 4.88179474e+02
5.37168789e+00, 3.17500322e-03, 6.47094995e-02, 7.26775000e+04, 8.63225639e-01, 3.43353119e+02, 1.62351537e+00, 7.26775000e+04, 2.93250610e+02, 5.57438171e+02
5.37168789e+00, -3.17499996e-03, 6.47094995e-02, 1.30963172e+05, 1.38254416e+00, 3.64198883e+02, 1.33691263e+00, 1.30963172e+05, 3.29939331e+02, 4.86902008e+02
5.35978317e+00, 3.17500206e-03, 6.47094995e-02, 6.96468906e+04, 8.33834708e-01, 3.41987518e+02, 1.64206529e+00, 6.96468906e+04, 2.90922882e+02, 5.61562073e+02
5.35978317e+00, -3.17499880e-03, 6.47094995e-02, 1.31328828e+05, 1.38414574e+00, 3.64495819e+02, 1.33272862e+00, 1.31328828e+05, 3.30477600e+02, 4.85773560e+02
5.34787703e+00, 3.17500066e-03, 6.47094995e-02, 6.49062969e+04, 7.87256479e-01, 3.39763367e+02, 1.67237926e+00, 6.49062969e+04, 2.87151520e+02, 5.68202515e+02
5.34787703e+00, -3.17499740e-03, 6.47094995e-02, 1.30223094e+05, 1.37148023e+00, 3.64630127e+02, 1.33075237e+00, 1.30223094e+05, 3.30721130e+02, 4.85230347e+02
5.33597183e+00, 3.17499950e-03, 6.47094995e-02, 6.16760313e+04, 7.57672727e-01, 3.37614349e+02, 1.70186937e+00, 6.16760313e+04, 2.83529785e+02, 5.74575562e+02
5.33597183e+00, -3.17499624e-03, 6.47094995e-02, 1.33228359e+05, 1.39873981e+00, 3.65202209e+02, 1.32273710e+00, 1.33228359e+05, 3.31759674e+02, 4.83066528e+02
